date,code,open,high,low,close
2019-02-25,sz.002596,7.9000,8.1500,7.7500,8.0600
2019-02-25,sz.002597,17.3000,18.1500,17.2200,18.1000
2019-02-25,sz.002598,7.2000,7.4300,7.1500,7.3700
2019-02-25,sz.002599,11.7400,11.7400,10.9100,11.1900
2019-02-25,sz.002600,4.3700,4.6600,4.2600,4.6600
2019-02-25,sz.002601,13.7200,14.3400,13.7000,14.2000
2019-02-25,sz.002602,21.1500,21.8000,21.1100,21.4100
2019-02-25,sz.002603,11.5200,12.3200,11.5200,12.1000
2019-02-25,sz.002604,1.6400,1.6800,1.6100,1.6800
2019-02-25,sz.002605,8.8800,9.3500,8.7700,9.3500
2019-02-25,sz.002606,6.8700,7.0900,6.7300,7.0600
2019-02-25,sz.002607,10.6600,11.1200,10.5100,11.1200
2019-02-25,sz.002608,8.6000,8.9100,8.3100,8.9100
2019-02-25,sz.002609,6.6500,7.0800,6.6400,6.9700
2019-02-25,sz.002610,1.8500,1.9700,1.8300,1.9400
2019-02-25,sz.002611,3.9400,4.0200,3.7700,3.9800
2019-02-25,sz.002612,9.6500,9.9900,9.5000,9.9500
2019-02-25,sz.002613,3.0800,3.4300,3.0700,3.4300
2019-02-25,sz.002614,17.5100,17.8800,17.3200,17.7900
2019-02-25,sz.002615,5.7700,5.9200,5.7300,5.9000
2019-02-25,sz.002616,7.3600,7.8200,7.3600,7.6600
2019-02-25,sz.002617,4.1500,4.5000,4.1100,4.3800
2019-02-25,sz.002618,16.0700,16.5700,15.9000,16.2400
2019-02-25,sz.002619,4.0600,4.1700,3.9700,4.1600
2019-02-25,sz.002620,6.5100,6.8600,6.5100,6.8400
2019-02-25,sz.002621,23.3000,23.4800,22.5300,23.3400
2019-02-25,sz.002622,3.9600,4.0800,3.8100,3.9800
2019-02-25,sz.002623,17.1700,17.7900,17.0800,17.7600
2019-02-25,sz.002624,28.3500,29.9800,28.2100,29.6700
2019-02-25,sz.002625,10.8100,11.2900,10.8100,11.2200
2019-02-25,sz.002626,13.4300,14.0100,13.4300,13.9900
2019-02-25,sz.002627,6.9200,7.3600,6.9200,7.2000
2019-02-25,sz.002628,5.0500,5.2900,4.9500,5.1900
2019-02-25,sz.002629,3.8300,3.9300,3.7700,3.9200
2019-02-25,sz.002630,3.2400,3.3900,3.1900,3.3600
2019-02-25,sz.002631,7.7000,8.1700,7.5500,7.9900
2019-02-25,sz.002632,8.4600,8.9300,8.3500,8.7600
2019-02-25,sz.002633,8.4200,8.7500,8.3800,8.7500
2019-02-25,sz.002634,4.7100,5.1500,4.7100,4.8900
2019-02-25,sz.002635,15.1600,15.5000,14.6500,15.0400
2019-02-25,sz.002636,9.0000,10.0500,8.9300,9.8600
2019-02-25,sz.002637,7.7700,8.0500,7.7700,8.0400
2019-02-25,sz.002638,2.8200,2.9300,2.7800,2.9000
2019-02-25,sz.002639,7.9300,8.4200,7.8300,8.3000
2019-02-25,sz.002640,12.1000,12.4500,11.7900,12.3400
2019-02-25,sz.002641,3.5900,3.7300,3.5700,3.7100
2019-02-25,sz.002642,6.2100,6.6600,6.1600,6.5600
2019-02-25,sz.002643,11.5500,12.1500,11.4000,11.8600
2019-02-25,sz.002644,8.2700,8.8800,8.2300,8.6200
2019-02-25,sz.002645,8.0900,8.3800,7.9500,8.3000
2019-02-25,sz.002646,11.2500,11.8300,11.2500,11.7200
2019-02-25,sz.002647,14.5000,15.4300,14.4100,15.3900
2019-02-25,sz.002648,13.2000,13.7300,12.9700,13.7000
2019-02-25,sz.002649,8.7300,9.0800,8.5000,8.9300
2019-02-25,sz.002650,3.6100,3.7900,3.6000,3.7800
2019-02-25,sz.002651,4.8500,5.0900,4.8500,5.0900
2019-02-25,sz.002652,5.0600,5.7000,5.0600,5.4300
2019-02-25,sz.002653,10.8500,11.4400,10.7200,11.2700
2019-02-25,sz.002654,4.8800,5.2500,4.8000,5.0500
2019-02-25,sz.002655,7.3000,7.5800,7.2200,7.4600
2019-02-25,sz.002656,6.3300,6.5300,6.1500,6.3600
2019-02-25,sz.002657,17.0300,17.0300,17.0300,17.0300
2019-02-25,sz.002658,7.5900,7.9300,7.5900,7.9200
2019-02-25,sz.002659,7.8100,8.2000,7.7800,8.1600
2019-02-25,sz.002660,6.8500,7.2800,6.7700,7.2400
2019-02-25,sz.002661,13.2200,13.7000,13.1900,13.6300
2019-02-25,sz.002662,4.4100,4.6300,4.4000,4.6100
2019-02-25,sz.002663,3.0200,3.1400,2.8700,3.1400
2019-02-25,sz.002664,12.8600,13.3800,12.6000,13.3100
2019-02-25,sz.002665,2.9600,3.1000,2.9500,3.0700
2019-02-25,sz.002666,4.5800,4.7800,4.5400,4.7700
2019-02-25,sz.002667,7.0100,7.2300,6.9300,7.2200
2019-02-25,sz.002668,5.3700,5.3700,5.3700,5.3700
2019-02-25,sz.002669,12.9700,13.4500,12.6600,13.3700
2019-02-25,sz.002670,11.7100,12.2100,11.3000,12.2100
2019-02-25,sz.002671,4.5900,4.7200,4.5800,4.7200
2019-02-25,sz.002672,11.5100,12.1800,11.5100,12.1300
2019-02-25,sz.002673,10.5000,10.9800,10.1300,10.9800
2019-02-25,sz.002674,10.2700,10.8200,10.0100,10.6500
2019-02-25,sz.002675,10.4800,10.6000,10.2500,10.5700
2019-02-25,sz.002676,3.3100,3.4700,3.3000,3.4500
2019-02-25,sz.002677,11.4900,12.0800,11.4900,12.0700
2019-02-25,sz.002678,6.2900,6.8900,6.1800,6.6200
2019-02-25,sz.002679,20.3000,22.1100,20.0000,21.4000
2019-02-25,sz.002680,1.4300,1.5500,1.4300,1.5500
2019-02-25,sz.002681,4.5800,4.7400,4.4200,4.6900
2019-02-25,sz.002682,4.7700,4.9300,4.7500,4.9200
2019-02-25,sz.002683,9.4000,9.8500,9.3500,9.7100
2019-02-25,sz.002684,6.7300,7.0900,6.6100,6.9800
2019-02-25,sz.002685,5.6400,5.9400,5.6400,5.8900
2019-02-25,sz.002686,7.0200,7.2100,6.9100,7.1600
2019-02-25,sz.002687,6.4100,6.6200,6.3100,6.6000
2019-02-25,sz.002688,4.9100,5.0700,4.8900,5.0600
2019-02-25,sz.002689,5.0400,5.3500,4.9100,5.2000
2019-02-25,sz.002690,22.7000,24.1000,22.7000,23.9200
2019-02-25,sz.002691,7.4700,7.9300,7.4700,7.8200
2019-02-25,sz.002692,4.4400,4.7000,4.3500,4.5700
2019-02-25,sz.002693,4.1800,4.3900,4.1800,4.3800
2019-02-25,sz.002694,4.3800,4.7100,4.3800,4.7100
2019-02-25,sz.002695,11.9100,12.7700,11.9100,12.6400
2019-02-25,sz.002696,8.0300,8.6600,7.9400,8.5800
2019-02-25,sz.002697,5.5100,5.8000,5.5100,5.7500
2019-02-25,sz.002698,11.0000,11.4600,10.9000,11.4000
2019-02-25,sz.002699,5.9300,6.1900,5.8200,6.1300
2019-02-25,sz.002700,9.6900,10.1500,9.6600,10.1200
2019-02-25,sz.002701,5.1800,5.3000,5.1700,5.3000
2019-02-25,sz.002702,4.3600,4.5800,4.3300,4.5100
2019-02-25,sz.002703,4.7400,4.8900,4.6700,4.8700
2019-02-25,sz.002705,10.6900,10.9800,10.6300,10.9500
2019-02-25,sz.002706,6.0500,6.2800,5.9800,6.2000
2019-02-25,sz.002707,6.0400,6.5800,6.0300,6.5800
2019-02-25,sz.002708,9.3500,10.0000,9.2000,10.0000
2019-02-25,sz.002709,28.5600,31.1500,28.5600,31.1500
2019-02-25,sz.002711,3.9900,4.2700,3.9600,4.2600
2019-02-25,sz.002712,7.7600,7.7600,7.3100,7.7600
2019-02-25,sz.002713,16.9800,17.7000,16.9300,17.6300
2019-02-25,sz.002714,47.1000,47.4500,44.0400,45.9100
2019-02-25,sz.002715,17.6900,18.4900,17.6900,18.4800
2019-02-25,sz.002716,7.8000,8.4800,7.6800,8.1700
2019-02-25,sz.002717,8.1600,8.3300,8.0300,8.3200
2019-02-25,sz.002718,28.0600,29.4500,28.0600,29.2000
2019-02-25,sz.002719,12.0300,12.3600,11.8400,12.3000
2019-02-25,sz.002721,6.1500,6.5000,6.0600,6.3700
2019-02-25,sz.002722,16.1300,16.7800,15.8800,16.6700
2019-02-25,sz.002723,9.2800,9.5000,9.0400,9.4500
2019-02-25,sz.002724,6.0900,6.3500,6.0600,6.3000
2019-02-25,sz.002725,10.2200,10.9900,10.2200,10.7100
2019-02-25,sz.002726,8.4600,8.6500,8.2900,8.5800
2019-02-25,sz.002727,21.4800,22.6900,21.4000,22.6600
2019-02-25,sz.002728,14.4500,15.0000,14.4500,14.9300
2019-02-25,sz.002729,21.6800,22.5200,21.6800,22.5000
2019-02-25,sz.002730,7.6100,7.9700,7.4600,7.9000
2019-02-25,sz.002731,18.8500,19.5300,18.7300,19.2300
2019-02-25,sz.002732,16.3900,16.9100,16.2400,16.8700
2019-02-25,sz.002733,21.2900,23.1500,21.0500,22.7500
2019-02-25,sz.002734,11.1000,12.1400,11.1000,11.8800
2019-02-25,sz.002735,22.4500,23.4500,22.4000,23.1500
2019-02-25,sz.002736,11.2100,11.7700,10.8800,11.7700
2019-02-25,sz.002737,16.3900,16.8700,16.2100,16.8300
2019-02-25,sz.002738,15.6800,16.2700,15.6800,16.1800
2019-02-25,sz.002739,21.5000,22.9100,21.4700,22.8700
2019-02-25,sz.002740,7.1000,7.1600,6.6600,6.9100
2019-02-25,sz.002741,14.5600,15.1100,14.5300,15.0700
2019-02-25,sz.002742,7.3700,7.6800,7.3300,7.6700
2019-02-25,sz.002743,6.1800,6.4800,6.1600,6.4800
2019-02-25,sz.002745,13.7900,14.6900,13.7000,14.6500
2019-02-25,sz.002746,21.7000,22.6600,20.8300,21.7300
2019-02-25,sz.002747,9.8000,10.3000,9.6000,10.1900
